
 num     #instances         #bytes  class name
 175:             4          16640  [Lscala.reflect.internal.util.WeakHashSet$Entry;
 176:           346          16608  org.antlr.v4.runtime.atn.RuleStartState
 177:           683          16392  scala.reflect.internal.Types$AnnotatedType
 178:           225          16200  sun.reflect.DelegatingClassLoader
 179:           644          15456  java.util.concurrent.CopyOnWriteArrayList
 180:           321          15408  scala.collection.mutable.LinkedHashMap
 181:           118          15240  [[C
 182:           634          15216  scala.collection.immutable.Map$Map1
 183:           633          15192  java.lang.Class$AnnotationData
 184:           469          15008  org.antlr.v4.runtime.atn.SingletonPredictionContext
 185:           206          14832  scala.reflect.runtime.SymbolLoaders$PackageScope
 186:           142          14768  java.io.ObjectStreamClass
 187:           458          14656  scala.reflect.io.VirtualFile
 188:           359          14360  scala.reflect.internal.Trees$Ident
 189:           161          14168  org.codehaus.janino.ReflectionIClass
 190:           353          14120  org.antlr.v4.runtime.atn.BlockEndState
 191:           587          14088  java.util.concurrent.ConcurrentSkipListMap$Index
 192:           117          14040  org.apache.spark.ui.jobs.UIData$ExecutorSummary
 193:           174          13920  org.apache.spark.util.collection.OpenHashSet$mcI$sp
 194:           435          13920  scala.tools.nsc.symtab.SymbolLoaders$PackageLoader
 195:           346          13840  org.antlr.v4.runtime.atn.RuleStopState
 196:           431          13792  scala.ref.WeakReferenceWithWrapper
 197:           343          13720  scala.collection.mutable.HashSet
 198:           423          13536  org.antlr.v4.runtime.atn.RuleTransition
 199:           420          13440  io.netty.util.internal.chmv8.LongAdderV8
 200:           417          13344  java.security.CodeSource
 201:           103          13184  scala.reflect.runtime.SynchronizedSymbols$SynchronizedSymbol$$anon$5
 202:           273          13104  org.antlr.v4.runtime.atn.BasicBlockStartState
 203:            34          13056  io.netty.util.concurrent.FastThreadLocalThread
 204:           231          12936  java.lang.invoke.MemberName
 205:           317          12680  org.apache.log4j.Logger
 206:           378          12592  [Lscala.collection.immutable.HashSet;
 207:           382          12224  org.datanucleus.util.WeakValueMap$WeakValueReference
 208:           191          12224  scala.reflect.internal.Types$AliasArgsTypeRef
